Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,relaxed-linen-button-up-shirt,,,,,,,,RLS-WHT-M,629110000402,,Medium,,,,,,,,49.99,59.99,22.00,TRUE,,,,,,shopify,21,DENY,240,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,relaxed-linen-button-up-shirt,,,,,,,,RLS-WHT-L,629110000403,,Large,,,,,,,,49.99,59.99,22.00,TRUE,,,,,,shopify,15,DENY,240,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Tailored Longline Blazer,tailored-longline-blazer,"A polished single-breasted blazer with a longline cut, notched lapels, and practical front pockets. Fully lined for a clean drape.",Northstar Apparel,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Blazers,"Clothing, Blazers, Camel, New Arrival",TRUE,Active,TLB-CAM-S,629110000501,Size,Small,,,,,,,,109.99,129.99,52.00,TRUE,,,,,,shopify,28,DENY,780,g,TRUE,manual,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?auto=format&fit=crop&w=1200&q=85,1,Camel tailored longline blazer,,FALSE,Tailored Longline Blazer | Northstar Apparel,"A polished single-breasted blazer with a longline cut, notched lapels, and practical front pockets. Fully lined for a clean drape.",brown,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Unisex,Adult (13+ years old),TLB-CAM,Blazers,Dummy Catalog,New,FALSE,New Arrival,Camel,,,
,tailored-longline-blazer,,,,,,,,TLB-CAM-M,629110000502,,Medium,,,,,,,,109.99,129.99,52.00,TRUE,,,,,,shopify,22,DENY,780,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,tailored-longline-blazer,,,,,,,,TLB-CAM-L,629110000503,,Large,,,,,,,,109.99,129.99,52.00,TRUE,,,,,,shopify,16,DENY,780,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Faux Leather Biker Jacket,faux-leather-biker-jacket,"A modern biker jacket in smooth faux leather with an asymmetric zip, metal hardware, and zippered pockets.",Northstar Apparel,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Jackets,"Clothing, Jackets, Black, New Arrival",TRUE,Active,FLJ-BLK-S,629110000601,Size,Small,,,,,,,,94.99,119.99,46.00,TRUE,,,,,,shopify,29,DENY,980,g,TRUE,manual,https://images.unsplash.com/photo-1551028719-00167b16eac5?auto=format&fit=crop&w=1200&q=85,1,Black faux leather biker jacket,,FALSE,Faux Leather Biker Jacket | Northstar Apparel,"A modern biker jacket in smooth faux leather with an asymmetric zip, metal hardware, and zippered pockets.",black,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Unisex,Adult (13+ years old),FLJ-BLK,Jackets,Dummy Catalog,New,FALSE,New Arrival,Black,,,
,faux-leather-biker-jacket,,,,,,,,FLJ-BLK-M,629110000602,,Medium,,,,,,,,94.99,119.99,46.00,TRUE,,,,,,shopify,23,DENY,980,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,faux-leather-biker-jacket,,,,,,,,FLJ-BLK-L,629110000603,,Large,,,,,,,,94.99,119.99,46.00,TRUE,,,,,,shopify,17,DENY,980,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Everyday Tapered Chinos,everyday-tapered-chinos,"Versatile stretch-cotton chinos with a clean tapered leg, belt loops, and four functional pockets. Smart enough for work and relaxed enough for weekends.",Northstar Apparel,Apparel & Accessories > Clothing > Pants,Chinos,"Clothing, Chinos, Olive, New Arrival",TRUE,Active,ETC-OLV-S,629110000701,Size,Small,,,,,,,,59.99,69.99,27.50,TRUE,,,,,,shopify,30,DENY,510,g,TRUE,manual,https://images.unsplash.com/photo-1542272604-787c3835535d?auto=format&fit=crop&w=1200&q=85,1,Olive everyday tapered chinos,,FALSE,Everyday Tapered Chinos | Northstar Apparel,"Versatile stretch-cotton chinos with a clean tapered leg, belt loops, and four functional pockets. Smart enough for work and relaxed enough for weekends.",green,Apparel & Accessories > Clothing > Pants,Unisex,Adult (13+ years old),ETC-OLV,Chinos,Dummy Catalog,New,FALSE,New Arrival,Olive,,,
,everyday-tapered-chinos,,,,,,,,ETC-OLV-M,629110000702,,Medium,,,,,,,,59.99,69.99,27.50,TRUE,,,,,,shopify,24,DENY,510,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,everyday-tapered-chinos,,,,,,,,ETC-OLV-L,629110000703,,Large,,,,,,,,59.99,69.99,27.50,TRUE,,,,,,shopify,18,DENY,510,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Floral Midi Wrap Dress,floral-midi-wrap-dress,"A flowing midi dress with a flattering wrap front, adjustable waist tie, and soft floral print. Designed for day-to-evening wear.",Northstar Apparel,Apparel & Accessories > Clothing > Dresses,Dresses,"Clothing, Dresses, Navy Floral, New Arrival",TRUE,Active,FWD-NVY-S,629110000801,Size,Small,,,,,,,,79.99,94.99,36.00,TRUE,,,,,,shopify,31,DENY,390,g,TRUE,manual,https://images.unsplash.com/photo-1585487000160-6ebcfceb0d03?auto=format&fit=crop&w=1200&q=85,1,Navy floral midi wrap dress,,FALSE,Floral Midi Wrap Dress | Northstar Apparel,"A flowing midi dress with a flattering wrap front, adjustable waist tie, and soft floral print. Designed for day-to-evening wear.",blue; multicolor,Apparel & Accessories > Clothing > Dresses,Unisex,Adult (13+ years old),FWD-NVY,Dresses,Dummy Catalog,New,FALSE,New Arrival,Navy Floral,,,
,floral-midi-wrap-dress,,,,,,,,FWD-NVY-M,629110000802,,Medium,,,,,,,,79.99,94.99,36.00,TRUE,,,,,,shopify,25,DENY,390,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,floral-midi-wrap-dress,,,,,,,,FWD-NVY-L,629110000803,,Large,,,,,,,,79.99,94.99,36.00,TRUE,,,,,,shopify,19,DENY,390,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Lightweight Quilted Puffer Vest,lightweight-quilted-puffer-vest,"A lightweight quilted vest with a stand collar, zip front, and side pockets. Adds warmth without unnecessary bulk.",Northstar Apparel,Apparel & Accessories > Clothing > Outerwear > Vests,Vests,"Clothing, Vests, Stone, New Arrival",TRUE,Active,QPV-STN-S,629110000901,Size,Small,,,,,,,,64.99,79.99,29.00,TRUE,,,,,,shopify,32,DENY,430,g,TRUE,manual,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?auto=format&fit=crop&w=1200&q=85,1,Stone lightweight quilted puffer vest,,FALSE,Lightweight Quilted Puffer Vest | Northstar Apparel,"A lightweight quilted vest with a stand collar, zip front, and side pockets. Adds warmth without unnecessary bulk.",beige,Apparel & Accessories > Clothing > Outerwear > Vests,Unisex,Adult (13+ years old),QPV-STN,Vests,Dummy Catalog,New,FALSE,New Arrival,Stone,,,
,lightweight-quilted-puffer-vest,,,,,,,,QPV-STN-M,629110000902,,Medium,,,,,,,,64.99,79.99,29.00,TRUE,,,,,,shopify,26,DENY,430,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,lightweight-quilted-puffer-vest,,,,,,,,QPV-STN-L,629110000903,,Large,,,,,,,,64.99,79.99,29.00,TRUE,,,,,,shopify,20,DENY,430,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
Organic Cotton Graphic Tee,organic-cotton-graphic-tee,A relaxed graphic tee made with soft organic cotton. Finished with a ribbed crew neck and a durable water-based print.,Northstar Apparel,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"Clothing, T-Shirts, Natural, New Arrival",TRUE,Active,OGT-NAT-S,629110001001,Size,Small,,,,,,,,29.99,34.99,13.00,TRUE,,,,,,shopify,33,DENY,190,g,TRUE,manual,https://images.unsplash.com/photo-1576566588028-4147f3842f27?auto=format&fit=crop&w=1200&q=85,1,Natural organic cotton graphic T-shirt,,FALSE,Organic Cotton Graphic Tee | Northstar Apparel,A relaxed graphic tee made with soft organic cotton. Finished with a ribbed crew neck and a durable water-based print.,beige,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult (13+ years old),OGT-NAT,T-Shirts,Dummy Catalog,New,FALSE,New Arrival,Natural,,,
,organic-cotton-graphic-tee,,,,,,,,OGT-NAT-M,629110001002,,Medium,,,,,,,,29.99,34.99,13.00,TRUE,,,,,,shopify,27,DENY,190,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
,organic-cotton-graphic-tee,,,,,,,,OGT-NAT-L,629110001003,,Large,,,,,,,,29.99,34.99,13.00,TRUE,,,,,,shopify,21,DENY,190,g,TRUE,manual,,,,,,,,,,,,,,,,,,,,,
